1179,gas tank,Van,Sofia ,1.1
1180,gasket,Van,Sofia ,1.1
1181,gasoline,Van,Ruse,1.1
1182,gauge,Van,Burgas,1.1
1183,gear shift,Van,Plovdiv,1.1
1184,gear stick,Van,Varna,1.1
1185,gearbox,Van,Sofia ,1.1
1186,glove compartment,Van,Sofia ,1.1
1187,GPS,Van,Ruse,1.1
1188,grille,Van,Burgas,1.1
1189,hand brake,Van,Plovdiv,1.1
1190,headlamp,Van,Varna,1.1
1191,headlight,Van,Sofia ,1.1
1192,headrest,Van,Sofia ,1.1
1193,heater,Van,Ruse,1.1
1194,high-beam headlights,Van,Burgas,1.1
1195,hood,Van,Plovdiv,1.1
1196,horn,Van,Varna,1.1
1197,hubcap,Van,Sofia ,1.1
1198,hybrid,Van,Sofia ,1.1
1199,ignition,Van,Ruse,1.1
1200,instrument panel,Van,Burgas,1.1
1201,interior light,Van,Plovdiv,1.1
1202,internal combustion engine,Van,Varna,1.1
1203,jack,Van,Sofia ,1.1
1204,key,Van,Sofia ,1.1
1205,license plate,Van,Ruse,1.1
1206,lights,Van,Burgas,1.1
1207,lock,Van,Plovdiv,1.1
1208,low-beam headlights,Van,Varna,1.1
1209,lug bolt,Van,Sofia ,1.1
1210,lug nut,Van,Sofia ,1.1
1211,manifold,Van,Ruse,1.1
1212,manual transmission,Van,Burgas,1.1
1213,mat,Van,Plovdiv,1.1
1214,mirror,Van,Varna,1.1
1215,moon roof,Van,Sofia ,1.1
1216,motor,Van,Sofia ,1.1
1217,mud flap,Van,Ruse,1.1
1218,muffler,Van,Burgas,1.1
1219,navigation system,Van,Plovdiv,1.1
1220,odometer,Van,Varna,1.1
1221,oil,Van,Sofia ,1.1
1222,oil filter,Van,Sofia ,1.1
1223,oil tank,Van,Ruse,1.1
1224,parking brake,Van,Burgas,1.1
1225,parking lights,Van,Plovdiv,1.1
1226,passenger seat,Van,Varna,1.1
1227,pedal,Van,Sofia ,1.1
1228,piston,Van,Sofia ,1.1
1229,power brakes,Van,Ruse,1.1
1230,power steering,Van,Burgas,1.1
1231,power window switch,Van,Plovdiv,1.1
1232,radiator,Van,Varna,1.1
1233,radio,Van,Sofia ,1.1
1234,rag top,Van,Sofia ,1.1
1235,rear window defroster,Van,Ruse,1.1
1236,rear-view mirror,Van,Burgas,1.1
1237,reverse light,Van,Plovdiv,1.1
1238,rims,Van,Varna,1.1
1239,roof,Van,Sofia ,1.1
1240,roof rack,Van,Sofia ,1.1
1241,rotary engine,Van,Ruse,1.1
1242,seat,Van,Burgas,1.1
1243,seat belt,Van,Plovdiv,1.1
1244,shift,Van,Varna,1.1
1245,shock absorber,Van,Sofia ,1.1
1246,side airbags,Van,Sofia ,1.1
1247,side mirror,Van,Ruse,1.1
1248,spare tire,Van,Burgas,1.1
1249,spark plug,Van,Plovdiv,1.1
1250,speaker,Van,Varna,1.1
1251,speedometer,Van,Sofia ,1.1
1252,spoiler,Van,Sofia ,1.1
1253,starter,Van,Ruse,1.1
1254,steering column,Van,Burgas,1.1
1255,steering wheel,Van,Plovdiv,1.1
1256,sun visor,Van,Varna,1.1
1257,sunroof,Van,Sofia ,1.1
1258,suspension,Van,Sofia ,1.1
1259,tachometer,Van,Ruse,1.1
1260,tailgate,Van,Burgas,1.1
1261,temperature gauge,Van,Plovdiv,1.1
1262,thermometer,Van,Varna,1.1
1263,tire,Van,Sofia ,1.1
1264,trailer hitch,Van,Sofia ,1.1
1265,transmission,Van,Ruse,1.1
1266,trim,Van,Burgas,1.1
1267,trip computer,Van,Plovdiv,1.1
1268,trunk,Van,Varna,1.1
1269,turbo charger,Van,Sofia ,1.1
1270,turn signal,Van,Sofia ,1.1
1271,undercarriage,Van,Ruse,1.1
1272,unleaded gas,Van,Burgas,1.1
1273,valve,Van,Plovdiv,1.1
1274,vents,Van,Varna,1.1
1275,visor,Van,Sofia ,1.1
1276,warning light,Van,Sofia ,1.1
1277,wheel,Van,Ruse,1.1
1278,wheel well,Van,Burgas,1.1
1279,window,Van,Plovdiv,1.1
1280,windshield,Van,Varna,1.1
1281,windshield wiper,Van,Sofia ,1.1
